IBGE;PIB a preços correntes (R$ 1.000) (2018);PIB per capita, a preços correntes (R$ 1,00) (2018);Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto
1100015;499.305,98;21.552,47;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1100023;2.463.773,26;23.206,36;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100031;140.502,27;25.837,12;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100049;2.180.454,02;25.708,96;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100056;472.178,83;28.714,35;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100064;330.428,47;20.362,88;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1100072;320.628,26;42.371,91;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária
1100080;230.163,50;12.890,70;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100098;608.397,83;18.984,55;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1100106;836.882,12;18.279,32;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1100114;1.476.627,17;28.433,31;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100122;3.362.336,06;26.287,35;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100130;642.102,79;16.423,33;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100148;370.024,44;18.086,15;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100155;808.666,68;22.252,80;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1100189;1.131.157,62;31.046,76;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100205;16.647.157,60;32.042,66;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100254;417.600,73;21.515,83;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100262;106.521,21;28.611,66;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100288;1.317.091,42;24.077,57;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100296;146.645,13;21.625,89;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100304;2.769.483,33;28.420,11;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1100320;711.450,64;31.025,71;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
1100338;508.701,52;17.095,19;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100346;256.508,57;17.423,49;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1100379;278.480,29;21.053,93;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
