cod_TSE;cidade_id;IBGE;IBGE_6;cod_municipio;municipio;populacao_2019;capital;latitude;longitude;cod_uf;sigla_uf;nome_uf;cod_regiao;sigla_regiao;nome_regiao;cod_meso;nome_meso;cod_micro;nome_micro
1120;1;1200013;120001;13;Acrelândia;15.256;False;-9,82581;-66,8972;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1570;2;1200054;120005;54;Assis Brasil;7.417;False;-10,9298;-69,5738;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia
1058;3;1200104;120010;104;Brasiléia;26.278;False;-10,995;-68,7497;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia
1007;4;1200138;120013;138;Bujari;10.266;False;-9,81528;-67,955;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1015;5;1200179;120017;179;Capixaba;11.733;False;-10,566;-67,686;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1074;6;1200203;120020;203;Cruzeiro do Sul;88.376;False;-7,62762;-72,6756;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul
1112;7;1200252;120025;252;Epitaciolândia;18.411;False;-11,0188;-68,7341;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia
1139;8;1200302;120030;302;Feijó;34.780;False;-8,17054;-70,351;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12002;Tarauacá
1104;9;1200328;120032;328;Jordão;8.317;False;-9,43091;-71,8974;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12002;Tarauacá
1090;10;1200336;120033;336;Mâncio Lima;18.977;False;-7,61657;-72,8997;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul
1554;11;1200344;120034;344;Manoel Urbano;9.459;False;-8,83291;-69,2679;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12003;Sena Madureira
1040;12;1200351;120035;351;Marechal Thaumaturgo;18.867;False;-8,93898;-72,7997;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul
1511;13;1200385;120038;385;Plácido de Castro;19.761;False;-10,2806;-67,1371;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1023;14;1200807;120080;807;Porto Acre;18.504;False;-9,58138;-67,5478;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1066;15;1200393;120039;393;Porto Walter;11.982;False;-8,26323;-72,7537;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul
1392;16;1200401;120040;401;Rio Branco;407.319;True;-9,97499;-67,8243;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1082;17;1200427;120042;427;Rodrigues Alves;18.930;False;-7,73864;-72,661;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul
1031;18;1200435;120043;435;Santa Rosa do Purus;6.540;False;-9,44652;-70,4902;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12003;Sena Madureira
1457;19;1200500;120050;500;Sena Madureira;45.848;False;-9,06596;-68,6571;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12003;Sena Madureira
1538;20;1200450;120045;450;Senador Guiomard;23.024;False;-10,1497;-67,7362;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco
1473;21;1200609;120060;609;Tarauacá;42.567;False;-8,15697;-70,7722;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12002;Tarauacá
1490;22;1200708;120070;708;Xapuri;19.323;False;-10,6516;-68,4969;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia
27014;23;2700102;270010;102;Água Branca;20.196;False;-9,262;-37,938;27;AL;Alagoas;2;NE;Nordeste;2701;Sertão Alagoano;27001;Serrana do Sertão Alagoano
27030;24;2700201;270020;201;Anadia;17.545;False;-9,68489;-36,3078;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27012;São Miguel dos Campos
27057;25;2700300;270030;300;Arapiraca;231.747;False;-9,75487;-36,6615;27;AL;Alagoas;2;NE;Nordeste;2702;Agreste Alagoano;27006;Arapiraca
27073;26;2700409;270040;409;Atalaia;47.185;False;-9,5119;-36,0086;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana
27090;27;2700508;270050;508;Barra de Santo Antônio;15.932;False;-9,4023;-35,5101;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27011;Maceió
27111;28;2700607;270060;607;Barra de São Miguel;8.322;False;-9,83842;-35,9057;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27011;Maceió
27138;29;2700706;270070;706;Batalha;18.232;False;-9,6742;-37,133;27;AL;Alagoas;2;NE;Nordeste;2701;Sertão Alagoano;27004;Batalha
27154;30;2700805;270080;805;Belém;4.344;False;-9,57047;-36,4904;27;AL;Alagoas;2;NE;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Índios
27170;31;2700904;270090;904;Belo Monte;6.704;False;-9,82272;-37,277;27;AL;Alagoas;2;NE;Nordeste;2701;Sertão Alagoano;27004;Batalha
27197;32;2701001;270100;1001;Boca da Mata;27.281;False;-9,64308;-36,2125;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27012;São Miguel dos Campos
27219;33;2701100;270110;1100;Branquinha;10.494;False;-9,23342;-36,0162;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana
27235;34;2701209;270120;1209;Cacimbinhas;10.858;False;-9,40121;-36,9911;27;AL;Alagoas;2;NE;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Índios
27251;35;2701308;270130;1308;Cajueiro;21.264;False;-9,3994;-36,1559;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana
27081;36;2701357;270135;1357;Campestre;6.936;False;-8,84723;-35,5685;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana
27278;37;2701407;270140;1407;Campo Alegre;57.063;False;-9,78451;-36,3525;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27012;São Miguel dos Campos
27294;38;2701506;270150;1506;Campo Grande;9.558;False;-9,95542;-36,7926;27;AL;Alagoas;2;NE;Nordeste;2702;Agreste Alagoano;27006;Arapiraca
27316;39;2701605;270160;1605;Canapi;17.722;False;-9,11932;-37,5967;27;AL;Alagoas;2;NE;Nordeste;2701;Sertão Alagoano;27001;Serrana do Sertão Alagoano
27332;40;2701704;270170;1704;Capela;17.053;False;-9,41504;-36,0826;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana
27359;41;2701803;270180;1803;Carneiros;9.081;False;-9,48476;-37,3773;27;AL;Alagoas;2;NE;Nordeste;2701;Sertão Alagoano;27003;Santana do Ipanema
27375;42;2701902;270190;1902;Chã Preta;7.311;False;-9,2556;-36,2983;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos
27391;43;2702009;270200;2009;Coité do Nóia;10.693;False;-9,63348;-36,5845;27;AL;Alagoas;2;NE;Nordeste;2702;Agreste Alagoano;27006;Arapiraca
27413;44;2702108;270210;2108;Colônia Leopoldina;21.698;False;-8,91806;-35,7214;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana
27430;45;2702207;270220;2207;Coqueiro Seco;5.845;False;-9,63715;-35,7994;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27011;Maceió
27456;46;2702306;270230;2306;Coruripe;56.933;False;-10,1276;-36,1717;27;AL;Alagoas;2;NE;Nordeste;2703;Leste Alagoano;27012;São Miguel dos Campos
28894;47;2702355;270235;2355;Craíbas;24.219;False;-9,6178;-36,7697;27;AL;Alagoas;2;NE;Nordeste;2702;Agreste Alagoano;27006;Arapiraca
27472;48;2702405;270240;2405;Delmiro Gouveia;52.016;False;-9,38534;-37,9987;27;AL;Alagoas;2;NE;Nordeste;2701;Sertão Alagoano;27002;Alagoana do Sertão do São Francisco
