cod_TSE;cidade_id;IBGE;IBGE_6;cod_municipio;municipio;municipio_sem_acento;populacao_2022;populacao_2019;capital;latitude;longitude;cod_uf;sigla_uf;nome_uf;cod_regiao;sigla_regiao;nome_regiao;cod_meso;nome_meso;cod_micro;nome_micro;polo;prefeito_nome;prefeito_urna;prefeito_reeleicao;prefeito_partido
1120;1;1200013;120001;13;Acrelândia;Acrelandia;12.707;15.256;Não;-9,82581;-66,8972;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Não;OLAVO FRANCELINO DE REZENDE;OLAVINHO BOIADEIRO;Sim;REPUBLICANOS
1570;2;1200054;120005;54;Assis Brasil;Assis Brasil;8.157;7.417;Não;-10,9298;-69,5738;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia;Não;JERRY CORREIA MARINHO;JERRY CORREIA;Sim;PP
1058;3;1200104;120010;104;Brasiléia;Brasileia;25.786;26.278;Não;-10,995;-68,7497;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia;Sim;CARLOS ARMANDO DE SOUZA ALVES;CARLINHOS DO PELADO;Não;PP
1007;4;1200138;120013;138;Bujari;Bujari;11.962;10.266;Não;-9,81528;-67,955;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Não;JOÃO EDVALDO TELES DE LIMA;PADEIRO;Não;PDT
1015;5;1200179;120017;179;Capixaba;Capixaba;9.737;11.733;Não;-10,566;-67,686;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Não;MANOEL MAIA BESERRA;MANOEL MAIA;Sim;UNIÃO
1074;6;1200203;120020;203;Cruzeiro do Sul;Cruzeiro do Sul;94.345;88.376;Não;-7,62762;-72,6756;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul;Sim;JOSÉ DE SOUZA LIMA;ZEQUINHA LIMA;Sim;PP
1112;7;1200252;120025;252;Epitaciolândia;Epitaciolandia;18.697;18.411;Não;-11,0188;-68,7341;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12005;Brasiléia;Sim;SÉRGIO LOPES DE SOUZA;DELEGADO SÉRGIO LOPES;Sim;PL
1139;8;1200302;120030;302;Feijó;Feijo;35.035;34.780;Não;-8,17054;-70,351;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12002;Tarauacá;Não;RAILSON FERREIRA DA SILVA;DELEGADO RAILSON;Não;REPUBLICANOS
1104;9;1200328;120032;328;Jordão;Jordao;11.105;8.317;Não;-9,43091;-71,8974;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12002;Tarauacá;Não;FRANCISCO NAUDINO RIBEIRO SOUZA;NAUDO RIBEIRO;Sim;PP
1090;10;1200336;120033;336;Mâncio Lima;Mancio Lima;19.172;18.977;Não;-7,61657;-72,8997;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul;Não;JOSE LUIZ GOMES DA COSTA;ZÉ LUIZ;Não;PP
1554;11;1200344;120034;344;Manoel Urbano;Manoel Urbano;12.246;9.459;Não;-8,83291;-69,2679;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12003;Sena Madureira;Não;RAIMUNDO TOSCANO VELOZO;TOSCANO VELOZO;Sim;PP
1040;12;1200351;120035;351;Marechal Thaumaturgo;Marechal Thaumaturgo;16.825;18.867;Não;-8,93898;-72,7997;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul;Não;VALDELIO JOSE DO NASCIMENTO FURTADO;VALDELIO FURTADO;Sim;PP
1511;13;1200385;120038;385;Plácido de Castro;Placido de Castro;16.313;19.761;Não;-10,2806;-67,1371;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Não;CAMILO DA SILVA;CAMILO DA SILVA;Sim;PP
1023;14;1200807;120080;807;Porto Acre;Porto Acre;16.218;18.504;Não;-9,58138;-67,5478;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Não;MAXIMO ANTONIO DE SOUZA DA COSTA;MAXIMO;Não;PP
1066;15;1200393;120039;393;Porto Walter;Porto Walter;10.706;11.982;Não;-8,26323;-72,7537;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul;Não;SEBASTIÃO NOGUEIRA DE ANDRADE;CESAR ANDRADE;Sim;PP
1392;16;1200401;120040;401;Rio Branco;Rio Branco;364.368;407.319;Sim;-9,97499;-67,8243;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Sim;SEBASTIAO BOCALOM RODRIGUES;TIÃO BOCALOM;Sim;PL
1082;17;1200427;120042;427;Rodrigues Alves;Rodrigues Alves;16.072;18.930;Não;-7,73864;-72,661;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12001;Cruzeiro do Sul;Não;SALATIEL PINHEIRO MAGALHAES;SALATIEL MAGALHÃES;Não;PSD
1031;18;1200435;120043;435;Santa Rosa do Purus;Santa Rosa do Purus;7.672;6.540;Não;-9,44652;-70,4902;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12003;Sena Madureira;Não;JOSE ALTAMIR TAUMATURGO SÁ;TAMIR SÁ;Sim;MDB
1457;19;1200500;120050;500;Sena Madureira;Sena Madureira;39.746;45.848;Não;-9,06596;-68,6571;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12003;Sena Madureira;Sim;GEHLEN DINIZ ANDRADE;GERLEN DINIZ;Não;PP
1538;20;1200450;120045;450;Senador Guiomard;Senador Guiomard;21.658;23.024;Não;-10,1497;-67,7362;12;AC;Acre;1;N;Norte;1202;Vale do Acre;12004;Rio Branco;Não;ROSANA PEREIRA DA SILVA;ROSANA GOMES;Sim;PP
1473;21;1200609;120060;609;Tarauacá;Tarauaca;43.072;42.567;Não;-8,15697;-70,7722;12;AC;Acre;1;N;Norte;1201;Vale do Juruá;12002;Tarauacá;Sim;RODRIGO DAMASCENO CATÃO;RODRIGO DAMASCENO;Não;PP
