IBGE;Pricipal Atividade Economica;"Agropecuária
(R$ 1.000 )";Indústria (R$ 1.000 );Serviços (R$ 1.000 )
3550308;Serviços;20.179;76.857.507;309.794.582
3304557;Serviços;60.598;23.570.064;140.138.244
5300108;Serviços;501.199;9.177.770;134.789.685
3106200;Serviços;197;7.796.245;38.268.538
4106902;Serviços;16.621;9.017.699;37.253.345
4314902;Serviços;22.121;5.528.116;32.206.461
2304400;Serviços;40.153;6.973.569;29.151.789
3534401;Serviços;763;3.088.623;27.801.501
2927408;Serviços;16.783;5.477.346;27.022.145
3518800;Serviços;5.613;10.734.100;24.502.015
3509502;Serviços;49.111;7.533.700;22.385.539
2611606;Serviços;10.536;5.074.350;21.951.726
1302603;Serviços;185.715;19.725.029;20.880.192
3505708;Serviços;0;4.878.138;19.426.559
5208707;Serviços;30.426;4.129.417;19.169.996
3548708;Serviços;4.617;12.236.573;16.390.032
3301702;Serviços;7.866;7.620.563;15.805.674
1501402;Serviços;31.556;2.515.427;13.956.320
3543402;Serviços;52.129;2.940.919;13.189.772
3205309;Serviços;7.759;5.054.691;12.706.200
2111300;Serviços;17.807;4.143.756;12.608.362
3525904;Serviços;43.529;6.524.633;11.599.812
3549904;Serviços;31.728;10.369.974;11.063.773
3118601;Serviços;1.487;5.150.294;10.656.157
3547809;Serviços;1.296;4.635.199;10.580.216
3170206;Serviços;420.279;3.723.421;10.304.347
5002704;Serviços;117.583;2.872.333;10.216.984
3303302;Serviços;14.821;2.725.773;9.918.503
3548500;Serviços;3.613;3.050.145;9.711.421
4208203;Serviços;49.967;1.669.109;9.607.760
4304606;Serviços;3.857;3.661.479;9.587.706
3552205;Serviços;20.304;5.474.846;9.165.969
3304904;Serviços;26.568;1.639.530;9.144.500
2704302;Serviços;33.995;2.836.708;8.991.254
2408102;Serviços;15.935;1.593.716;8.959.710
4209102;Serviços;33.917;7.554.057;8.859.368
5103403;Serviços;37.580;1.895.747;8.549.540
4205407;Serviços;25.048;1.288.780;8.329.253
3303500;Serviços;7.383;1.314.573;7.952.320
3300100;Serviços;19.042;2.001.793;7.621.196
2211001;Serviços;63.646;2.068.184;7.584.213
4305108;Serviços;198.254;6.235.754;7.476.858
4113700;Serviços;133.917;1.620.790;7.082.278
3549805;Serviços;32.553;1.462.221;7.050.767
2507507;Serviços;7.389;2.176.654;6.588.636
4115200;Serviços;55.771;1.747.303;6.549.106
3205002;Serviços;21.033;4.513.152;6.474.767
2800308;Serviços;5.853;1.520.935;6.461.207
4101804;Serviços;59.490;5.135.440;6.397.152
3527306;Serviços;16.789;2.894.355;6.197.643
3538709;Serviços;194.007;3.517.820;6.024.412
3302403;Serviços;40.040;5.229.343;5.899.893
3530607;Serviços;108.806;2.387.252;5.809.468
3136702;Serviços;38.557;2.120.696;5.714.259
3506003;Serviços;21.050;1.424.772;5.616.552
1100205;Serviços;608.856;1.843.724;5.541.241
3513801;Serviços;355;4.554.841;5.365.070
4202404;Serviços;14.996;3.721.391;5.240.489
2910800;Serviços;52.807;1.810.935;5.189.304
3548807;Serviços;0;3.742.706;5.026.455
2607901;Serviços;15.629;2.197.656;4.906.229
1600303;Serviços;42.641;287.946;4.855.521
3305109;Serviços;877;558.082;4.784.657
3303906;Serviços;14.445;3.631.778;4.650.881
3306305;Serviços;6.306;2.973.953;4.636.393
3205200;Serviços;11.966;1.397.024;4.576.809
2607208;Serviços;15.020;1.851.632;4.405.395
3522505;Serviços;0;996.072;4.386.529
3536505;Serviços;3.068;2.525.993;4.367.207
5201108;Serviços;55.668;3.970.089;4.245.482
4104808;Serviços;237.035;1.019.960;4.146.152
5201405;Serviços;7.193;1.313.491;4.069.778
1400100;Serviços;43.021;571.828;4.015.629
