cod_uf;uf;nome_uf;nome_uf_sem_acento;populacao_2019;cargo;governador;partido;imagem_bandeira;link_bandeira_circulo_p;bandeira_com_efeito;bandeira_com_efeito_circulo;brasil
12;AC;Acre;Acre;881.935;Governador:;Gladson Cameli;PP;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Acre.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/AC.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/acre.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/acre.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
27;AL;Alagoas;Alagoas;3.337.357;Governador:;Renan Filho;MDB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_de_Alagoas.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/AL.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/alagoas.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/alagoas.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
13;AM;Amazonas;Amazonas;4.144.597;Governador:;Wilson Lima;PSC;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Amazonas.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/AM.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/amazonas.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/amazonas.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
16;AP;Amapá;Amapa;845.731;Governador:;Waldez Góes;PDT;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Amapa.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/AP.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/amapa.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/amapa.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
29;BA;Bahia;Bahia;14.873.064;Governador:;Rui Costa;PT;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_da_Bahia.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/BA.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/bahia.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/bahia.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
23;CE;Ceará;Ceara;9.132.078;Governador:;Camilo Santana;PT;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/Bandeira_do_Ceara.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/CE.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/ceara.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/ceara.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
53;DF;Distrito Federal;Distrito Federal;3.015.268;Governador:;Ibaneis Rocha;MDB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Distrito_Federal.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/DF.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/distrito-federal.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/distrito-federal.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
32;ES;Espírito Santo;Espirito Santo;4.018.650;Governador:;Renato Casagrande;PSB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Espirito_Santo.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/ES.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/espirito-santo.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/espirito-santo.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
52;GO;Goiás;Goias;7.018.354;Governador:;Ronaldo Caiado;DEM;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Goias.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/GO.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/goias.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/goias.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
21;MA;Maranhão;Maranhao;7.075.181;Governador:;Flávio Dino;PSB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Maranhao.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/MA.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/maranhao.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/maranhao.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
31;MG;Minas Gerais;Minas Gerais;21.168.791;Governador:;Romeu Zema;NOVO;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_de_Minas_Gerais.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/MG.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/minas-gerais.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/minas-gerais.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
50;MS;Mato Grosso do Sul;Mato Grosso do Sul;2.778.986;Governador:;Reinaldo Azambuja;PSDB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_de_Mato_Grosso_do_Sul.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/MS.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/mato-grosso-do-sul.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/mato-grosso-do-sul.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
51;MT;Mato Grosso;Mato Grosso;3.484.466;Governador:;Mauro Mendes;DEM;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_de_Mato_Grosso.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/MT.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/mato-grosso.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/mato-grosso.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
15;PA;Pará;Para;8.602.865;Governador:;Helder Barbalho;MDB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Para.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/PA.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/para.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/para.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
25;PB;Paraíba;Paraiba;4.018.127;Governador:;João Azevêdo;PSB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_da_Paraiba.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/PB.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/paraiba.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/paraiba.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
26;PE;Pernambuco;Pernambuco;9.557.071;Governador:;Paulo Câmara;PSB;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/Bandeira_de_Pernambuco.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/PE.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/pernambuco.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/pernambuco.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
22;PI;Piauí;Piaui;3.273.227;Governador:;Wellington Dias;PT;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Piaui.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/PI.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/piaui.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/piaui.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
41;PR;Paraná;Parana;11.433.957;Governador:;Ratinho Júnior;PSD;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/Bandeira_do_Parana.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/PR.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/parana.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/parana.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
33;RJ;Rio de Janeiro;Rio de Janeiro;17.264.943;Governador:;Cláudio Castro;PL;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_estado_do_Rio_de_Janeiro.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/RJ.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/rio-de-janeiro.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/rio-de-janeiro.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
24;RN;Rio Grande do Norte;Rio Grande do Norte;3.506.853;Governador:;Fátima Bezerra;PT;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_do_Rio_Grande_do_Norte.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/RN.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/rio-grande-do-norte.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/rio-grande-do-norte.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
11;RO;Rondônia;Rondonia;1.777.225;Governador:;Marcos Rocha;PSL;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_de_Rondonia.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/RO.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/rondonia.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/rondonia.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
14;RR;Roraima;Roraima;605.761;Governador:;Antonio Denarium;PSL;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras/180px-Bandeira_de_Roraima.svg.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras_circulo/RR.png;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/roraima.jpg;https://brasil61.s3.us-west-2.amazonaws.com/slider-home/images/bandeiras-800x533/roraima.png;https://eleicoes.s3.us-west-2.amazonaws.com/fotos/bd_brasil.png
