ibge;ibge_6;nome_municipio;nome_municipio_sem_acento;id_uf;sigla_uf;nome_uf;id_regiao;sigla_regiao;nome_regiao;id_microrregiao;nome_microrregiao;id_mesorregiao;nome_mesorregiao;id_regiao_imediata;nome_regiao_imediata;id_regiao_intermediaria;nome_regiao_intermediaria;id_regiao_metropolitana;nome_regiao_metropolitana;populacao_2022;latitude;longitude;capital;ddd
1100015;110001;Alta Floresta D'Oeste;Alta Floresta D'Oeste;11;RO;Rondônia;1;N;Norte;11006;Cacoal;1102;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;;;21558;-11,9283;-61,9953;0;69
1100023;110002;Ariquemes;Ariquemes;11;RO;Rondônia;1;N;Norte;11003;Ariquemes;1102;Leste Rondoniense;110002;Ariquemes;1101;Porto Velho;;;100896;-9,90571;-63,0325;0;69
1100031;110003;Cabixi;Cabixi;11;RO;Rondônia;1;N;Norte;11008;Colorado do Oeste;1102;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;;;5107;-13,4945;-60,552;0;69
1100049;110004;Cacoal;Cacoal;11;RO;Rondônia;1;N;Norte;11006;Cacoal;1102;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;;;92202;-11,4343;-61,4562;0;69
1100056;110005;Cerejeiras;Cerejeiras;11;RO;Rondônia;1;N;Norte;11008;Colorado do Oeste;1102;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;;;15237;-13,187;-60,8168;0;69
1100064;110006;Colorado do Oeste;Colorado do Oeste;11;RO;Rondônia;1;N;Norte;11008;Colorado do Oeste;1102;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;;;15747;-13,1174;-60,5454;0;69
1100072;110007;Corumbiara;Corumbiara;11;RO;Rondônia;1;N;Norte;11008;Colorado do Oeste;1102;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;;;7503;-12,9551;-60,8947;0;69
1100080;110008;Costa Marques;Costa Marques;11;RO;Rondônia;1;N;Norte;11002;Guajará-Mirim;1101;Madeira-Guaporé;110004;Ji-Paraná;1102;Ji-Paraná;;;12633;-12,4367;-64,228;0;69
1100098;110009;Espigão D'Oeste;Espigao D'Oeste;11;RO;Rondônia;1;N;Norte;11006;Cacoal;1102;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;;;29722;-11,5266;-61,0252;0;69
1100106;110010;Guajará-Mirim;Guajara-Mirim;11;RO;Rondônia;1;N;Norte;11002;Guajará-Mirim;1101;Madeira-Guaporé;110001;Porto Velho;1101;Porto Velho;;;39396;-10,7889;-65,3296;0;69
